[INFO | downloader | L34] 2024-12-07T23:22:57+0000: Downloading to E:\Personal\MarketResearch\EvonithSteel\Blast Furnace Project\PythonBlastFurnace\evonith_datafeed_job\data | downloader.py
[INFO | logger | L11] 2024-12-07T23:22:57+0000: ====== WebDriver manager ====== | logger.py
[INFO | _client | L1742] 2024-12-07T23:22:57+0000: HTTP Request: GET http://127.0.0.1:8437/api/flows/62d8a09f-2ef2-4d33-9755-2729299a5c41 "HTTP/1.1 200 OK" | _client.py
[INFO | logger | L11] 2024-12-07T23:22:58+0000: Get LATEST chromedriver version for google-chrome | logger.py
[INFO | logger | L11] 2024-12-07T23:22:58+0000: Get LATEST chromedriver version for google-chrome | logger.py
[INFO | logger | L11] 2024-12-07T23:22:58+0000: Driver [C:\Users\sairi\.wdm\drivers\chromedriver\win64\126.0.6478.182\chromedriver-win32/chromedriver.exe] found in cache | logger.py
[INFO | downloader | L54] 2024-12-07T23:22:59+0000: Opening webpage... | downloader.py
[INFO | downloader | L72] 2024-12-07T23:23:00+0000: Clicking download button... | downloader.py
[INFO | downloader | L85] 2024-12-07T23:23:04+0000: File downloaded successfully. | downloader.py
[INFO | pipeline | L17] 2024-12-07T23:23:06+0000: Downloaded file to: E:\Personal\MarketResearch\EvonithSteel\Blast Furnace Project\PythonBlastFurnace\evonith_datafeed_job\data\data.csv | pipeline.py
[INFO | task_engine | L272] 2024-12-07T23:23:06+0000: Finished in state Completed() | task_engine.py
[INFO | pipeline | L25] 2024-12-07T23:23:07+0000: Starting data preprocessing task... | pipeline.py
[INFO | transformer | L28] 2024-12-07T23:23:07+0000: Wrote ['BF2_BFBD Furnace Body 12975mm Temp A', 'BF2_BFBD Furnace Body 12975mm Temp B', 'BF2_BFBD Furnace Body 12975mm Temp C', 'BF2_BFBD Furnace Body 12975mm Temp D', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A'] of temperature_variables for 2024-12-07 23:23:00. | transformer.py
[INFO | transformer | L28] 2024-12-07T23:23:07+0000: Wrote ['BF2 Coal flow switch No 1', 'BF2 Coal flow switch No 10', 'BF2 Coal flow switch No 11', 'BF2 Coal flow switch No 12', 'BF2 Coal flow switch No 13'] of switch_variables for 2024-12-07 23:23:00. | transformer.py
[INFO | pipeline | L27] 2024-12-07T23:23:07+0000: Data preprocessing complete. | pipeline.py
[INFO | task_engine | L272] 2024-12-07T23:23:07+0000: Finished in state Completed() | task_engine.py
[INFO | pipeline | L35] 2024-12-07T23:23:07+0000: Starting data write task... | pipeline.py
[INFO | _client | L1742] 2024-12-07T23:23:13+0000: HTTP Request: GET http://127.0.0.1:8437/api/csrf-token?client=b2ba7fd5-6e76-4e80-86e6-496f137aacb9 "HTTP/1.1 422 Unprocessable Entity" | _client.py
[INFO | _client | L1742] 2024-12-07T23:23:13+0000: HTTP Request: POST http://127.0.0.1:8437/api/logs/ "HTTP/1.1 201 Created" | _client.py
[INFO | writer | L24] 2024-12-07T23:23:30+0000: Called the influxdb client <influxdb_client_3.InfluxDBClient3 object at 0x000002008AAE20F0>. | writer.py
[INFO | app | L11] 2024-12-07T23:29:08+0000: Starting the data pipeline | app.py
[INFO | server | L784] 2024-12-07T23:29:10+0000: Starting temporary server on http://127.0.0.1:8049
See https://docs.prefect.io/3.0/manage/self-host#self-host-a-prefect-server for more information on running a dedicated Prefect server. | server.py
[INFO | _client | L1027] 2024-12-07T23:29:17+0000: HTTP Request: GET http://127.0.0.1:8049/api/health "HTTP/1.1 200 OK" | _client.py
[INFO | _client | L1027] 2024-12-07T23:29:17+0000: HTTP Request: GET http://127.0.0.1:8049/api/admin/version "HTTP/1.1 200 OK" | _client.py
[INFO | _client | L1027] 2024-12-07T23:29:17+0000: HTTP Request: GET http://127.0.0.1:8049/api/csrf-token?client=865eb262-51cc-4f0a-9799-88deb5fdd49b "HTTP/1.1 422 Unprocessable Entity" | _client.py
[INFO | _client | L1027] 2024-12-07T23:29:17+0000: HTTP Request: POST http://127.0.0.1:8049/api/flows/ "HTTP/1.1 200 OK" | _client.py
[INFO | _client | L1027] 2024-12-07T23:29:17+0000: HTTP Request: POST http://127.0.0.1:8049/api/flow_runs/ "HTTP/1.1 201 Created" | _client.py
[INFO | flow_engine | L496] 2024-12-07T23:29:17+0000: Created flow run 'ancient-smilodon' for flow 'data-pipeline' | flow_engine.py
[INFO | _client | L1027] 2024-12-07T23:29:17+0000: HTTP Request: POST http://127.0.0.1:8049/api/flow_runs/393529a4-f6e9-4e2d-9746-84b75914c5d1/set_state "HTTP/1.1 201 Created" | _client.py
[INFO | _client | L1027] 2024-12-07T23:29:18+0000: HTTP Request: GET http://127.0.0.1:8049/api/flow_runs/393529a4-f6e9-4e2d-9746-84b75914c5d1 "HTTP/1.1 200 OK" | _client.py
[INFO | pipeline | L44] 2024-12-07T23:29:18+0000: Starting data pipeline... | pipeline.py
[INFO | pipeline | L15] 2024-12-07T23:29:18+0000: Starting download task... | pipeline.py
[INFO | helper_functions_downloader | L36] 2024-12-07T23:29:18+0000: No CSV files found to delete. | helper_functions_downloader.py
[INFO | downloader | L34] 2024-12-07T23:29:18+0000: Downloading to E:\Personal\MarketResearch\EvonithSteel\Blast Furnace Project\PythonBlastFurnace\evonith_datafeed_job\data | downloader.py
[INFO | logger | L11] 2024-12-07T23:29:18+0000: ====== WebDriver manager ====== | logger.py
[INFO | _client | L1742] 2024-12-07T23:29:18+0000: HTTP Request: GET http://127.0.0.1:8049/api/flows/62d8a09f-2ef2-4d33-9755-2729299a5c41 "HTTP/1.1 200 OK" | _client.py
[INFO | logger | L11] 2024-12-07T23:29:19+0000: Get LATEST chromedriver version for google-chrome | logger.py
[INFO | logger | L11] 2024-12-07T23:29:19+0000: Get LATEST chromedriver version for google-chrome | logger.py
[INFO | logger | L11] 2024-12-07T23:29:19+0000: Driver [C:\Users\sairi\.wdm\drivers\chromedriver\win64\126.0.6478.182\chromedriver-win32/chromedriver.exe] found in cache | logger.py
[INFO | downloader | L54] 2024-12-07T23:29:20+0000: Opening webpage... | downloader.py
[INFO | downloader | L72] 2024-12-07T23:29:20+0000: Clicking download button... | downloader.py
[INFO | downloader | L85] 2024-12-07T23:29:24+0000: File downloaded successfully. | downloader.py
[INFO | pipeline | L17] 2024-12-07T23:29:27+0000: Downloaded file to: E:\Personal\MarketResearch\EvonithSteel\Blast Furnace Project\PythonBlastFurnace\evonith_datafeed_job\data\data.csv | pipeline.py
[INFO | task_engine | L272] 2024-12-07T23:29:27+0000: Finished in state Completed() | task_engine.py
[INFO | pipeline | L25] 2024-12-07T23:29:27+0000: Starting data preprocessing task... | pipeline.py
[INFO | transformer | L28] 2024-12-07T23:29:27+0000: Wrote ['BF2_BFBD Furnace Body 12975mm Temp A', 'BF2_BFBD Furnace Body 12975mm Temp B', 'BF2_BFBD Furnace Body 12975mm Temp C', 'BF2_BFBD Furnace Body 12975mm Temp D', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A'] of temperature_variables for 2024-12-07 23:29:20. | transformer.py
[INFO | transformer | L28] 2024-12-07T23:29:27+0000: Wrote ['BF2 Coal flow switch No 1', 'BF2 Coal flow switch No 10', 'BF2 Coal flow switch No 11', 'BF2 Coal flow switch No 12', 'BF2 Coal flow switch No 13'] of switch_variables for 2024-12-07 23:29:20. | transformer.py
[INFO | pipeline | L27] 2024-12-07T23:29:27+0000: Data preprocessing complete. | pipeline.py
[INFO | task_engine | L272] 2024-12-07T23:29:27+0000: Finished in state Completed() | task_engine.py
[INFO | pipeline | L35] 2024-12-07T23:29:27+0000: Starting data write task... | pipeline.py
[INFO | _client | L1742] 2024-12-07T23:29:29+0000: HTTP Request: GET http://127.0.0.1:8049/api/csrf-token?client=c26e362f-bcd6-49e3-b52f-a393f7d92643 "HTTP/1.1 422 Unprocessable Entity" | _client.py
[INFO | _client | L1742] 2024-12-07T23:29:29+0000: HTTP Request: POST http://127.0.0.1:8049/api/logs/ "HTTP/1.1 201 Created" | _client.py
